dish,ingredients
fried_rice,"[{""ingredient"": ""cooked rice"", ""quantity"": ""3 cups""}, {""ingredient"": ""eggs"", ""quantity"": ""3""}, {""ingredient"": ""carrots"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""peas"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""onion"", ""quantity"": ""1 medium""}, {""ingredient"": ""garlic"", ""quantity"": ""2 cloves""}, {""ingredient"": ""soy sauce"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""sesame oil"", ""quantity"": ""1 tsp""}, {""ingredient"": ""vegetable oil"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""green onions"", ""quantity"": ""3""}]"
frozen_yogurt,"[{""ingredient"": ""plain yogurt"", ""quantity"": ""2 cups""}, {""ingredient"": ""honey"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""vanilla extract"", ""quantity"": ""1 tsp""}, {""ingredient"": ""fresh berries"", ""quantity"": ""1 cup""}, {""ingredient"": ""sugar"", ""quantity"": ""2 tbsp""}]"
garlic_bread,"[{""ingredient"": ""baguette"", ""quantity"": ""1""}, {""ingredient"": ""butter"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""garlic"", ""quantity"": ""4 cloves""}, {""ingredient"": ""parsley"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""Parmesan cheese"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""salt"", ""quantity"": ""to taste""}]"
gnocchi,"[{""ingredient"": ""russet potatoes"", ""quantity"": ""900g""}, {""ingredient"": ""all-purpose flour"", ""quantity"": ""1.5 cups""}, {""ingredient"": ""egg"", ""quantity"": ""1""}, {""ingredient"": ""Parmesan cheese"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""salt"", ""quantity"": ""1 tsp""}, {""ingredient"": ""nutmeg"", ""quantity"": ""pinch""}, {""ingredient"": ""butter"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""fresh sage"", ""quantity"": ""8 leaves""}]"
greek_salad,"[{""ingredient"": ""cucumber"", ""quantity"": ""1 large""}, {""ingredient"": ""tomatoes"", ""quantity"": ""3 medium""}, {""ingredient"": ""red onion"", ""quantity"": ""1/2""}, {""ingredient"": ""kalamata olives"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""feta cheese"", ""quantity"": ""200g""}, {""ingredient"": ""bell pepper"", ""quantity"": ""1""}, {""ingredient"": ""olive oil"", ""quantity"": ""4 tbsp""}, {""ingredient"": ""red wine vinegar"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""oregano"", ""quantity"": ""1 tsp""}, {""ingredient"": ""salt"", ""quantity"": ""to taste""}]"
grilled_cheese_sandwich,"[{""ingredient"": ""sourdough bread"", ""quantity"": ""2 slices""}, {""ingredient"": ""cheddar cheese"", ""quantity"": ""2 slices""}, {""ingredient"": ""Gruyere cheese"", ""quantity"": ""1 slice""}, {""ingredient"": ""butter"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""garlic powder"", ""quantity"": ""pinch""}, {""ingredient"": ""Dijon mustard"", ""quantity"": ""1 tsp""}]"
grilled_salmon,"[{""ingredient"": ""salmon fillets"", ""quantity"": ""2 x 200g""}, {""ingredient"": ""olive oil"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""lemon"", ""quantity"": ""1""}, {""ingredient"": ""garlic"", ""quantity"": ""2 cloves""}, {""ingredient"": ""fresh dill"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""salt"", ""quantity"": ""to taste""}, {""ingredient"": ""black pepper"", ""quantity"": ""to taste""}, {""ingredient"": ""butter"", ""quantity"": ""1 tbsp""}]"
guacamole,"[{""ingredient"": ""ripe avocados"", ""quantity"": ""3""}, {""ingredient"": ""lime juice"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""red onion"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""cilantro"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""jalape\u00f1o"", ""quantity"": ""1""}, {""ingredient"": ""garlic"", ""quantity"": ""1 clove""}, {""ingredient"": ""tomato"", ""quantity"": ""1""}, {""ingredient"": ""salt"", ""quantity"": ""to taste""}]"
gyoza,"[{""ingredient"": ""dumpling wrappers"", ""quantity"": ""40""}, {""ingredient"": ""ground pork"", ""quantity"": ""300g""}, {""ingredient"": ""napa cabbage"", ""quantity"": ""1 cup""}, {""ingredient"": ""garlic"", ""quantity"": ""2 cloves""}, {""ingredient"": ""ginger"", ""quantity"": ""1 tbsp""}, {""ingredient"": ""soy sauce"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""sesame oil"", ""quantity"": ""1 tsp""}, {""ingredient"": ""green onions"", ""quantity"": ""3""}, {""ingredient"": ""vegetable oil"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""water"", ""quantity"": ""1/4 cup""}]"
hamburger,"[{""ingredient"": ""ground beef (80/20)"", ""quantity"": ""600g""}, {""ingredient"": ""burger buns"", ""quantity"": ""4""}, {""ingredient"": ""cheddar cheese"", ""quantity"": ""4 slices""}, {""ingredient"": ""lettuce"", ""quantity"": ""4 leaves""}, {""ingredient"": ""tomato"", ""quantity"": ""1 large""}, {""ingredient"": ""onion"", ""quantity"": ""1""}, {""ingredient"": ""pickles"", ""quantity"": ""8 slices""}, {""ingredient"": ""ketchup"", ""quantity"": ""4 tbsp""}, {""ingredient"": ""mustard"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""salt"", ""quantity"": ""to taste""}]"
hot_and_sour_soup,"[{""ingredient"": ""chicken broth"", ""quantity"": ""6 cups""}, {""ingredient"": ""pork"", ""quantity"": ""200g""}, {""ingredient"": ""tofu"", ""quantity"": ""200g""}, {""ingredient"": ""shiitake mushrooms"", ""quantity"": ""6""}, {""ingredient"": ""bamboo shoots"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""soy sauce"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""rice vinegar"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""white pepper"", ""quantity"": ""1 tsp""}, {""ingredient"": ""cornstarch"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""eggs"", ""quantity"": ""2""}, {""ingredient"": ""sesame oil"", ""quantity"": ""1 tsp""}]"
hot_dog,"[{""ingredient"": ""hot dog sausages"", ""quantity"": ""6""}, {""ingredient"": ""hot dog buns"", ""quantity"": ""6""}, {""ingredient"": ""mustard"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""ketchup"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""onion"", ""quantity"": ""1/2""}, {""ingredient"": ""relish"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""sauerkraut"", ""quantity"": ""1/4 cup""}]"
huevos_rancheros,"[{""ingredient"": ""eggs"", ""quantity"": ""4""}, {""ingredient"": ""corn tortillas"", ""quantity"": ""4""}, {""ingredient"": ""tomatoes"", ""quantity"": ""3""}, {""ingredient"": ""jalape\u00f1o"", ""quantity"": ""2""}, {""ingredient"": ""onion"", ""quantity"": ""1/2""}, {""ingredient"": ""garlic"", ""quantity"": ""2 cloves""}, {""ingredient"": ""black beans"", ""quantity"": ""1 cup""}, {""ingredient"": ""cilantro"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""cotija cheese"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""oil"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""salt"", ""quantity"": ""to taste""}]"
hummus,"[{""ingredient"": ""chickpeas"", ""quantity"": ""400g can""}, {""ingredient"": ""tahini"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""lemon juice"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""garlic"", ""quantity"": ""2 cloves""}, {""ingredient"": ""olive oil"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""cumin"", ""quantity"": ""1/2 tsp""}, {""ingredient"": ""salt"", ""quantity"": ""to taste""}, {""ingredient"": ""paprika"", ""quantity"": ""for garnish""}, {""ingredient"": ""water"", ""quantity"": ""2 tbsp""}]"
ice_cream,"[{""ingredient"": ""heavy cream"", ""quantity"": ""2 cups""}, {""ingredient"": ""whole milk"", ""quantity"": ""1 cup""}, {""ingredient"": ""sugar"", ""quantity"": ""3/4 cup""}, {""ingredient"": ""egg yolks"", ""quantity"": ""5""}, {""ingredient"": ""vanilla extract"", ""quantity"": ""2 tsp""}, {""ingredient"": ""salt"", ""quantity"": ""pinch""}]"
lasagna,"[{""ingredient"": ""lasagna noodles"", ""quantity"": ""12""}, {""ingredient"": ""ground beef"", ""quantity"": ""500g""}, {""ingredient"": ""ricotta cheese"", ""quantity"": ""500g""}, {""ingredient"": ""mozzarella cheese"", ""quantity"": ""400g""}, {""ingredient"": ""Parmesan cheese"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""tomato sauce"", ""quantity"": ""3 cups""}, {""ingredient"": ""onion"", ""quantity"": ""1""}, {""ingredient"": ""garlic"", ""quantity"": ""3 cloves""}, {""ingredient"": ""eggs"", ""quantity"": ""2""}, {""ingredient"": ""Italian seasoning"", ""quantity"": ""2 tsp""}, {""ingredient"": ""salt"", ""quantity"": ""to taste""}]"
lobster_bisque,"[{""ingredient"": ""lobster tails"", ""quantity"": ""2""}, {""ingredient"": ""butter"", ""quantity"": ""4 tbsp""}, {""ingredient"": ""shallots"", ""quantity"": ""2""}, {""ingredient"": ""garlic"", ""quantity"": ""3 cloves""}, {""ingredient"": ""tomato paste"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""brandy"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""heavy cream"", ""quantity"": ""2 cups""}, {""ingredient"": ""fish stock"", ""quantity"": ""3 cups""}, {""ingredient"": ""tarragon"", ""quantity"": ""1 tsp""}, {""ingredient"": ""paprika"", ""quantity"": ""1 tsp""}, {""ingredient"": ""salt"", ""quantity"": ""to taste""}]"
lobster_roll_sandwich,"[{""ingredient"": ""lobster meat"", ""quantity"": ""400g""}, {""ingredient"": ""hot dog buns"", ""quantity"": ""4""}, {""ingredient"": ""mayonnaise"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""celery"", ""quantity"": ""2 stalks""}, {""ingredient"": ""lemon juice"", ""quantity"": ""1 tbsp""}, {""ingredient"": ""chives"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""butter"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""salt"", ""quantity"": ""to taste""}, {""ingredient"": ""black pepper"", ""quantity"": ""to taste""}]"
macaroni_and_cheese,"[{""ingredient"": ""elbow macaroni"", ""quantity"": ""450g""}, {""ingredient"": ""cheddar cheese"", ""quantity"": ""3 cups""}, {""ingredient"": ""whole milk"", ""quantity"": ""2 cups""}, {""ingredient"": ""butter"", ""quantity"": ""4 tbsp""}, {""ingredient"": ""all-purpose flour"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""cream cheese"", ""quantity"": ""60g""}, {""ingredient"": ""Dijon mustard"", ""quantity"": ""1 tsp""}, {""ingredient"": ""paprika"", ""quantity"": ""1/2 tsp""}, {""ingredient"": ""salt"", ""quantity"": ""to taste""}, {""ingredient"": ""black pepper"", ""quantity"": ""to taste""}, {""ingredient"": ""breadcrumbs"", ""quantity"": ""1/2 cup""}]"
macarons,"[{""ingredient"": ""almond flour"", ""quantity"": ""1 cup""}, {""ingredient"": ""powdered sugar"", ""quantity"": ""1.5 cups""}, {""ingredient"": ""egg whites"", ""quantity"": ""3""}, {""ingredient"": ""granulated sugar"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""cream of tartar"", ""quantity"": ""1/4 tsp""}, {""ingredient"": ""food coloring"", ""quantity"": ""as desired""}, {""ingredient"": ""heavy cream"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""dark chocolate"", ""quantity"": ""100g""}, {""ingredient"": ""butter"", ""quantity"": ""2 tbsp""}]"
miso_soup,"[{""ingredient"": ""dashi stock"", ""quantity"": ""4 cups""}, {""ingredient"": ""miso paste"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""tofu"", ""quantity"": ""150g""}, {""ingredient"": ""wakame seaweed"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""green onions"", ""quantity"": ""2""}]"
mussels,"[{""ingredient"": ""mussels"", ""quantity"": ""1 kg""}, {""ingredient"": ""white wine"", ""quantity"": ""1 cup""}, {""ingredient"": ""shallots"", ""quantity"": ""2""}, {""ingredient"": ""garlic"", ""quantity"": ""3 cloves""}, {""ingredient"": ""butter"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""parsley"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""heavy cream"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""lemon juice"", ""quantity"": ""1 tbsp""}, {""ingredient"": ""salt"", ""quantity"": ""to taste""}, {""ingredient"": ""baguette"", ""quantity"": ""1""}]"
nachos,"[{""ingredient"": ""tortilla chips"", ""quantity"": ""300g""}, {""ingredient"": ""cheddar cheese"", ""quantity"": ""2 cups""}, {""ingredient"": ""jalape\u00f1os"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""black beans"", ""quantity"": ""1 cup""}, {""ingredient"": ""salsa"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""sour cream"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""guacamole"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""green onions"", ""quantity"": ""3""}, {""ingredient"": ""cilantro"", ""quantity"": ""2 tbsp""}]"
omelette,"[{""ingredient"": ""eggs"", ""quantity"": ""3""}, {""ingredient"": ""butter"", ""quantity"": ""1 tbsp""}, {""ingredient"": ""cheddar cheese"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""mushrooms"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""bell pepper"", ""quantity"": ""1/4""}, {""ingredient"": ""onion"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""salt"", ""quantity"": ""to taste""}, {""ingredient"": ""black pepper"", ""quantity"": ""to taste""}, {""ingredient"": ""fresh herbs"", ""quantity"": ""1 tbsp""}]"
onion_rings,"[{""ingredient"": ""onions"", ""quantity"": ""2 large""}, {""ingredient"": ""all-purpose flour"", ""quantity"": ""1.5 cups""}, {""ingredient"": ""beer"", ""quantity"": ""1 cup""}, {""ingredient"": ""paprika"", ""quantity"": ""1 tsp""}, {""ingredient"": ""garlic powder"", ""quantity"": ""1 tsp""}, {""ingredient"": ""salt"", ""quantity"": ""1 tsp""}, {""ingredient"": ""oil for frying"", ""quantity"": ""4 cups""}, {""ingredient"": ""dipping sauce"", ""quantity"": ""1/4 cup""}]"
oysters,"[{""ingredient"": ""fresh oysters"", ""quantity"": ""24""}, {""ingredient"": ""shallot"", ""quantity"": ""1""}, {""ingredient"": ""red wine vinegar"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""lemon"", ""quantity"": ""2""}, {""ingredient"": ""hot sauce"", ""quantity"": ""1 tsp""}, {""ingredient"": ""horseradish"", ""quantity"": ""1 tbsp""}, {""ingredient"": ""cocktail sauce"", ""quantity"": ""1/4 cup""}]"
pad_thai,"[{""ingredient"": ""rice noodles"", ""quantity"": ""250g""}, {""ingredient"": ""shrimp or chicken"", ""quantity"": ""300g""}, {""ingredient"": ""eggs"", ""quantity"": ""3""}, {""ingredient"": ""bean sprouts"", ""quantity"": ""2 cups""}, {""ingredient"": ""green onions"", ""quantity"": ""4""}, {""ingredient"": ""peanuts"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""fish sauce"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""tamarind paste"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""sugar"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""lime"", ""quantity"": ""2""}, {""ingredient"": ""oil"", ""quantity"": ""3 tbsp""}]"
paella,"[{""ingredient"": ""Spanish rice"", ""quantity"": ""2 cups""}, {""ingredient"": ""chicken thighs"", ""quantity"": ""400g""}, {""ingredient"": ""shrimp"", ""quantity"": ""300g""}, {""ingredient"": ""mussels"", ""quantity"": ""500g""}, {""ingredient"": ""chicken broth"", ""quantity"": ""4 cups""}, {""ingredient"": ""tomatoes"", ""quantity"": ""2""}, {""ingredient"": ""saffron"", ""quantity"": ""1/2 tsp""}, {""ingredient"": ""smoked paprika"", ""quantity"": ""1 tsp""}, {""ingredient"": ""onion"", ""quantity"": ""1""}, {""ingredient"": ""garlic"", ""quantity"": ""4 cloves""}, {""ingredient"": ""olive oil"", ""quantity"": ""4 tbsp""}, {""ingredient"": ""bell pepper"", ""quantity"": ""2""}]"
pancakes,"[{""ingredient"": ""all-purpose flour"", ""quantity"": ""1.5 cups""}, {""ingredient"": ""baking powder"", ""quantity"": ""2 tsp""}, {""ingredient"": ""sugar"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""salt"", ""quantity"": ""1/2 tsp""}, {""ingredient"": ""milk"", ""quantity"": ""1.25 cups""}, {""ingredient"": ""egg"", ""quantity"": ""1""}, {""ingredient"": ""butter"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""vanilla extract"", ""quantity"": ""1 tsp""}, {""ingredient"": ""maple syrup"", ""quantity"": ""1/4 cup""}]"
panna_cotta,"[{""ingredient"": ""heavy cream"", ""quantity"": ""2 cups""}, {""ingredient"": ""sugar"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""vanilla bean"", ""quantity"": ""1""}, {""ingredient"": ""gelatin powder"", ""quantity"": ""2.5 tsp""}, {""ingredient"": ""milk"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""berry coulis"", ""quantity"": ""1/2 cup""}]"
peking_duck,"[{""ingredient"": ""whole duck"", ""quantity"": ""1 (2kg)""}, {""ingredient"": ""hoisin sauce"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""soy sauce"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""honey"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""five spice powder"", ""quantity"": ""1 tsp""}, {""ingredient"": ""Chinese pancakes"", ""quantity"": ""20""}, {""ingredient"": ""cucumber"", ""quantity"": ""1""}, {""ingredient"": ""green onions"", ""quantity"": ""6""}, {""ingredient"": ""rice wine"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""maltose syrup"", ""quantity"": ""2 tbsp""}]"
pho,"[{""ingredient"": ""beef bones"", ""quantity"": ""1 kg""}, {""ingredient"": ""rice noodles"", ""quantity"": ""400g""}, {""ingredient"": ""beef sirloin"", ""quantity"": ""300g""}, {""ingredient"": ""onion"", ""quantity"": ""2""}, {""ingredient"": ""ginger"", ""quantity"": ""3 inch""}, {""ingredient"": ""star anise"", ""quantity"": ""3""}, {""ingredient"": ""cinnamon stick"", ""quantity"": ""1""}, {""ingredient"": ""fish sauce"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""bean sprouts"", ""quantity"": ""2 cups""}, {""ingredient"": ""basil"", ""quantity"": ""1 cup""}, {""ingredient"": ""lime"", ""quantity"": ""2""}, {""ingredient"": ""sriracha"", ""quantity"": ""to taste""}]"
pizza,"[{""ingredient"": ""pizza dough"", ""quantity"": ""500g""}, {""ingredient"": ""tomato sauce"", ""quantity"": ""1 cup""}, {""ingredient"": ""mozzarella cheese"", ""quantity"": ""300g""}, {""ingredient"": ""olive oil"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""garlic"", ""quantity"": ""2 cloves""}, {""ingredient"": ""basil"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""oregano"", ""quantity"": ""1 tsp""}, {""ingredient"": ""toppings of choice"", ""quantity"": ""as desired""}]"
pork_chop,"[{""ingredient"": ""pork chops"", ""quantity"": ""4""}, {""ingredient"": ""olive oil"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""garlic"", ""quantity"": ""3 cloves""}, {""ingredient"": ""fresh rosemary"", ""quantity"": ""2 sprigs""}, {""ingredient"": ""fresh thyme"", ""quantity"": ""3 sprigs""}, {""ingredient"": ""butter"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""salt"", ""quantity"": ""to taste""}, {""ingredient"": ""black pepper"", ""quantity"": ""to taste""}]"
poutine,"[{""ingredient"": ""russet potatoes"", ""quantity"": ""4 large""}, {""ingredient"": ""cheese curds"", ""quantity"": ""300g""}, {""ingredient"": ""beef broth"", ""quantity"": ""2 cups""}, {""ingredient"": ""butter"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""flour"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""Worcestershire sauce"", ""quantity"": ""1 tsp""}, {""ingredient"": ""oil for frying"", ""quantity"": ""4 cups""}, {""ingredient"": ""salt"", ""quantity"": ""to taste""}, {""ingredient"": ""black pepper"", ""quantity"": ""to taste""}]"
prime_rib,"[{""ingredient"": ""prime rib roast"", ""quantity"": ""3 kg""}, {""ingredient"": ""salt"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""black pepper"", ""quantity"": ""1 tbsp""}, {""ingredient"": ""garlic"", ""quantity"": ""6 cloves""}, {""ingredient"": ""fresh rosemary"", ""quantity"": ""3 sprigs""}, {""ingredient"": ""fresh thyme"", ""quantity"": ""3 sprigs""}, {""ingredient"": ""olive oil"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""horseradish"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""au jus mix"", ""quantity"": ""1 cup""}]"
pulled_pork_sandwich,"[{""ingredient"": ""pork shoulder"", ""quantity"": ""1.5 kg""}, {""ingredient"": ""BBQ sauce"", ""quantity"": ""1 cup""}, {""ingredient"": ""brown sugar"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""paprika"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""garlic powder"", ""quantity"": ""1 tbsp""}, {""ingredient"": ""onion powder"", ""quantity"": ""1 tbsp""}, {""ingredient"": ""cumin"", ""quantity"": ""1 tsp""}, {""ingredient"": ""coleslaw"", ""quantity"": ""1 cup""}, {""ingredient"": ""hamburger buns"", ""quantity"": ""6""}, {""ingredient"": ""apple cider vinegar"", ""quantity"": ""1/4 cup""}]"
ramen,"[{""ingredient"": ""ramen noodles"", ""quantity"": ""400g""}, {""ingredient"": ""chicken or pork broth"", ""quantity"": ""6 cups""}, {""ingredient"": ""pork belly"", ""quantity"": ""300g""}, {""ingredient"": ""soft boiled eggs"", ""quantity"": ""4""}, {""ingredient"": ""nori sheets"", ""quantity"": ""4""}, {""ingredient"": ""corn kernels"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""soy sauce"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""miso paste"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""sesame oil"", ""quantity"": ""1 tbsp""}, {""ingredient"": ""green onions"", ""quantity"": ""4""}, {""ingredient"": ""bamboo shoots"", ""quantity"": ""1/2 cup""}]"
ravioli,"[{""ingredient"": ""all-purpose flour"", ""quantity"": ""2 cups""}, {""ingredient"": ""eggs"", ""quantity"": ""3""}, {""ingredient"": ""ricotta cheese"", ""quantity"": ""250g""}, {""ingredient"": ""spinach"", ""quantity"": ""1 cup""}, {""ingredient"": ""Parmesan cheese"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""nutmeg"", ""quantity"": ""pinch""}, {""ingredient"": ""butter"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""fresh sage"", ""quantity"": ""10 leaves""}, {""ingredient"": ""salt"", ""quantity"": ""to taste""}]"
red_velvet_cake,"[{""ingredient"": ""all-purpose flour"", ""quantity"": ""2.5 cups""}, {""ingredient"": ""cocoa powder"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""sugar"", ""quantity"": ""1.5 cups""}, {""ingredient"": ""baking soda"", ""quantity"": ""1 tsp""}, {""ingredient"": ""buttermilk"", ""quantity"": ""1 cup""}, {""ingredient"": ""vegetable oil"", ""quantity"": ""1 cup""}, {""ingredient"": ""eggs"", ""quantity"": ""2""}, {""ingredient"": ""red food coloring"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""cream cheese"", ""quantity"": ""500g""}, {""ingredient"": ""powdered sugar"", ""quantity"": ""3 cups""}, {""ingredient"": ""vanilla extract"", ""quantity"": ""2 tsp""}]"
risotto,"[{""ingredient"": ""Arborio rice"", ""quantity"": ""300g""}, {""ingredient"": ""chicken broth"", ""quantity"": ""6 cups""}, {""ingredient"": ""white wine"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""onion"", ""quantity"": ""1 medium""}, {""ingredient"": ""garlic"", ""quantity"": ""2 cloves""}, {""ingredient"": ""Parmesan cheese"", ""quantity"": ""1 cup""}, {""ingredient"": ""butter"", ""quantity"": ""4 tbsp""}, {""ingredient"": ""olive oil"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""salt"", ""quantity"": ""to taste""}, {""ingredient"": ""black pepper"", ""quantity"": ""to taste""}, {""ingredient"": ""parsley"", ""quantity"": ""2 tbsp""}]"
samosa,"[{""ingredient"": ""all-purpose flour"", ""quantity"": ""2 cups""}, {""ingredient"": ""potatoes"", ""quantity"": ""3 medium""}, {""ingredient"": ""peas"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""onion"", ""quantity"": ""1""}, {""ingredient"": ""cumin seeds"", ""quantity"": ""1 tsp""}, {""ingredient"": ""coriander powder"", ""quantity"": ""1 tsp""}, {""ingredient"": ""garam masala"", ""quantity"": ""1/2 tsp""}, {""ingredient"": ""ginger"", ""quantity"": ""1 inch""}, {""ingredient"": ""oil"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""oil for frying"", ""quantity"": ""4 cups""}, {""ingredient"": ""salt"", ""quantity"": ""to taste""}]"
sashimi,"[{""ingredient"": ""sushi-grade tuna"", ""quantity"": ""200g""}, {""ingredient"": ""sushi-grade salmon"", ""quantity"": ""200g""}, {""ingredient"": ""soy sauce"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""wasabi"", ""quantity"": ""2 tsp""}, {""ingredient"": ""pickled ginger"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""daikon radish"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""shiso leaves"", ""quantity"": ""6""}]"
scallops,"[{""ingredient"": ""sea scallops"", ""quantity"": ""500g""}, {""ingredient"": ""butter"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""garlic"", ""quantity"": ""2 cloves""}, {""ingredient"": ""lemon juice"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""fresh thyme"", ""quantity"": ""3 sprigs""}, {""ingredient"": ""salt"", ""quantity"": ""to taste""}, {""ingredient"": ""black pepper"", ""quantity"": ""to taste""}, {""ingredient"": ""olive oil"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""parsley"", ""quantity"": ""2 tbsp""}]"
seaweed_salad,"[{""ingredient"": ""dried seaweed (wakame)"", ""quantity"": ""50g""}, {""ingredient"": ""sesame oil"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""rice vinegar"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""soy sauce"", ""quantity"": ""1 tbsp""}, {""ingredient"": ""sugar"", ""quantity"": ""1 tsp""}, {""ingredient"": ""ginger"", ""quantity"": ""1 tsp""}, {""ingredient"": ""sesame seeds"", ""quantity"": ""1 tbsp""}, {""ingredient"": ""red pepper flakes"", ""quantity"": ""1/4 tsp""}, {""ingredient"": ""cucumber"", ""quantity"": ""1/2""}]"
